,label,pred,correct
0,排水方式,排水方式,1
1,控制方式,控制方式,1
2,适用季节,适用季节,1
3,反馈用后症状,反馈用后症状,1
4,商品规格,商品规格,1
5,发货数量,发货数量,1
6,包装区别,包装区别,1
7,控制方式,控制方式,1
8,是否好用,是否好用,1
9,商品材质,商品材质,1
10,商品材质,商品材质,1
11,商品材质,是否好用,0
12,包装区别,包装区别,1
13,套装推荐,套装推荐,1
14,上市时间,上市时间,1
15,套装推荐,单品推荐,0
16,能否调光,能否调光,1
17,单品推荐,单品推荐,1
18,商品材质,商品材质,1
19,用法用量,用法用量,1
20,版本款型区别,版本款型区别,1
21,库存查询,库存查询,1
22,商品规格,商品规格,1
23,包装区别,包装区别,1
24,包装区别,""","""","""","""","","""","""","""",""例如=",0
25,套装推荐,套装推荐,1
26,商品材质,商品材质,1
27,包装区别,包装区别,1
28,商品规格,商品规格,1
29,信号情况,信号情况,1
30,适用季节,适用季节,1
31,信号,信号,1
32,用法用量,用法用量,1
33,功效功能,功效功能,1
34,包装区别,包装区别,1
35,反馈密封性不好,反馈密封性不好,1
36,反馈密封性不好,反馈密封性不好,1
37,是否会生锈,是否会生锈,1
38,反馈密封性不好,反馈密封性不好,1
39,适用季节,适用季节,1
40,套装推荐,套装推荐,1
41,养护方法,养护方法,1
42,版本款型区别,版本款型区别,1
43,上市时间,上市时间,1
44,排水方式,排水方式,1
45,包装区别,包装区别,1
46,养护方法,养护方法,1
47,能否调光,能否调光,1
48,排水方式,排水方式,1
49,气泡,气泡,1
50,套装推荐,套装推荐,1
51,商品规格,商品规格,1
52,信号情况,信号情况,1
53,何时上货,何时上货,1
54,信号情况,信号情况,1
55,商品规格,商品规格,1
56,用法用量,用法用量,1
57,商品规格,商品规格,1
58,商品材质,商品材质,1
59,适用季节,适用季节,1
60,商品材质,""" photo screenshot,",0
61,反馈密封性不好,反馈密封性不好,1
62,适用季节,适用季节,1
63,用法用量,用法用量,1
64,包装区别,包装区别,1
65,单品推荐,单品推荐,1
66,控制方式,控制方式,1
67,是否好用,是否好用,1
68,养护方法,养护方法,1
69,反馈用后症状,反馈用后症状,1
70,养护方法,养护方法,1
71,适用季节,适用季节,1
72,单品推荐,单品推荐,1
73,发货数量,发货数量,1
74,何时上货,何时上货,1
75,适用季节,适用季节,1
76,何时上货,何时上货,1
77,版本款型区别,版本款型区别,1
78,包装区别,包装区别,1
79,包装区别,包装区别,1
80,包装区别,包装区别,1
81,商品材质,商品材质,1
82,单品推荐,单品推荐,1
83,商品规格,商品规格,1
84,商品规格,商品规格,1
85,控制方式,控制方式,1
86,套装推荐,套装推荐,1
87,气泡,气泡,1
88,版本款型区别,版本款型区别,1
89,是否会生锈,是否会生锈,1
90,包装区别,包装区别,1
91,版本款型区别,版本款型区别,1
92,商品规格,商品规格,1
93,适用季节,适用季节,1
94,版本款型区别,版本款型区别,1
95,商品材质,商品材质,1
96,颜色分类,颜色分类,1
97,包装区别,包装区别,1
98,套装推荐,套装推荐,1
99,气泡,气泡,1
